# Residuals   
# Time        	Ux            	Uy            	p             
7.7075        	1.942265e-03	1.434441e-03	2.833292e-02
7.70786       	1.942195e-03	1.434679e-03	2.835060e-02
7.70821       	1.942185e-03	1.434869e-03	2.793236e-02
7.70857       	1.942080e-03	1.434868e-03	2.852376e-02
7.70893       	1.941992e-03	1.435041e-03	2.845360e-02
7.70929       	1.941890e-03	1.435209e-03	2.829355e-02
7.70964       	1.941655e-03	1.435271e-03	2.841994e-02
7.71          	1.941452e-03	1.435378e-03	2.854684e-02
7.71037       	2.013106e-03	1.488502e-03	2.984381e-02
7.71074       	2.012952e-03	1.488543e-03	2.929034e-02
7.71111       	2.012833e-03	1.488620e-03	2.914027e-02
7.71148       	2.012699e-03	1.488709e-03	2.929194e-02
7.71185       	2.012647e-03	1.488939e-03	2.927282e-02
7.71222       	2.012540e-03	1.489233e-03	2.929629e-02
7.71259       	2.012431e-03	1.489533e-03	2.927536e-02
7.71296       	2.012365e-03	1.489835e-03	2.958039e-02
7.71333       	2.012309e-03	1.490101e-03	2.955745e-02
7.7137        	2.012232e-03	1.490408e-03	2.930066e-02
7.71407       	2.012105e-03	1.490666e-03	2.952501e-02
7.71444       	2.012076e-03	1.491048e-03	2.936017e-02
7.71481       	2.012032e-03	1.491347e-03	2.917493e-02
7.71519       	2.011907e-03	1.491532e-03	2.886379e-02
7.71556       	2.011766e-03	1.491839e-03	2.872119e-02
7.71593       	2.011605e-03	1.492096e-03	2.873318e-02
7.7163        	2.011381e-03	1.492268e-03	2.891956e-02
7.71667       	2.011148e-03	1.492509e-03	2.886875e-02
7.71704       	2.010872e-03	1.492693e-03	2.899943e-02
7.71741       	2.010650e-03	1.492862e-03	2.884688e-02
7.71778       	2.010481e-03	1.493028e-03	2.885046e-02
7.71815       	2.010362e-03	1.493132e-03	2.884962e-02
7.71852       	2.010198e-03	1.493208e-03	2.885717e-02
7.71889       	2.010116e-03	1.493430e-03	2.922595e-02
7.71926       	2.010010e-03	1.493745e-03	2.912081e-02
7.71963       	2.009775e-03	1.494036e-03	2.897647e-02
7.72          	2.009473e-03	1.494438e-03	2.893153e-02
7.72037       	2.009239e-03	1.494951e-03	2.918014e-02
7.72074       	2.009123e-03	1.495560e-03	2.962280e-02
7.72111       	2.009087e-03	1.496283e-03	2.977978e-02
7.72148       	2.009009e-03	1.496871e-03	3.008159e-02
7.72185       	2.009025e-03	1.497380e-03	3.035840e-02
7.72222       	2.009255e-03	1.498138e-03	3.049731e-02
7.72259       	2.009778e-03	1.498821e-03	3.101594e-02
7.72296       	2.010124e-03	1.499556e-03	3.158462e-02
7.72333       	2.010339e-03	1.500175e-03	3.215740e-02
7.7237        	2.010537e-03	1.500615e-03	3.198843e-02
7.72407       	2.010611e-03	1.500942e-03	3.177043e-02
7.72444       	2.010464e-03	1.501132e-03	3.139928e-02
7.72481       	2.010045e-03	1.501233e-03	3.144345e-02
7.72519       	2.009855e-03	1.501429e-03	3.152204e-02
7.72556       	2.009573e-03	1.501657e-03	3.139535e-02
7.72593       	2.009189e-03	1.501934e-03	3.156563e-02
7.7263        	2.008808e-03	1.502218e-03	3.139237e-02
7.72667       	2.008293e-03	1.502429e-03	3.110302e-02
7.72704       	2.007758e-03	1.502654e-03	3.091542e-02
7.72741       	2.007256e-03	1.502919e-03	3.132323e-02
7.72778       	2.006940e-03	1.503385e-03	3.076330e-02
7.72815       	2.006630e-03	1.503681e-03	3.099322e-02
7.72852       	2.006227e-03	1.503791e-03	3.072040e-02
7.72889       	2.005805e-03	1.504038e-03	3.047884e-02
7.72926       	2.005368e-03	1.504310e-03	3.016060e-02
7.72963       	2.004873e-03	1.504658e-03	3.048035e-02
7.73          	2.004419e-03	1.505008e-03	3.076011e-02
7.73037       	2.004016e-03	1.505331e-03	3.069907e-02
7.73074       	2.003606e-03	1.505564e-03	3.092152e-02
7.73111       	2.003181e-03	1.505782e-03	3.074727e-02
7.73148       	2.002718e-03	1.505940e-03	3.082746e-02
7.73185       	2.002324e-03	1.506071e-03	3.098817e-02
7.73222       	2.001973e-03	1.506217e-03	3.146065e-02
7.73259       	2.001678e-03	1.506341e-03	3.155761e-02
7.73296       	2.001413e-03	1.506549e-03	3.152307e-02
7.73333       	2.001077e-03	1.506783e-03	3.154121e-02
7.7337        	2.000741e-03	1.506933e-03	3.157042e-02
7.73407       	2.000374e-03	1.507149e-03	3.135518e-02
7.73444       	1.999890e-03	1.507412e-03	3.097809e-02
7.73481       	1.999410e-03	1.507620e-03	3.091532e-02
7.73519       	1.998985e-03	1.507762e-03	3.084454e-02
7.73556       	1.998622e-03	1.507967e-03	3.081036e-02
7.73593       	1.998215e-03	1.508087e-03	3.112898e-02
7.7363        	1.997770e-03	1.508180e-03	3.108191e-02
7.73667       	1.997353e-03	1.508455e-03	3.117532e-02
7.73704       	1.996964e-03	1.508873e-03	3.113430e-02
7.73741       	1.996509e-03	1.509158e-03	3.113263e-02
7.73778       	1.996067e-03	1.509424e-03	3.123498e-02
7.73815       	1.995602e-03	1.509650e-03	3.116809e-02
7.73852       	1.995203e-03	1.509871e-03	3.093793e-02
7.73889       	1.994827e-03	1.510058e-03	3.116707e-02
7.73926       	1.994449e-03	1.510201e-03	3.130842e-02
7.73963       	1.994104e-03	1.510312e-03	3.134832e-02
7.74          	1.993725e-03	1.510565e-03	3.159733e-02
7.74037       	1.993312e-03	1.510882e-03	3.236908e-02
7.74074       	1.992911e-03	1.511260e-03	3.285322e-02
7.74111       	1.992439e-03	1.511619e-03	3.251169e-02
7.74148       	1.991935e-03	1.511997e-03	3.243039e-02
7.74185       	1.991395e-03	1.512285e-03	3.271266e-02
7.74222       	1.990986e-03	1.512747e-03	3.208549e-02
7.74259       	1.990584e-03	1.512990e-03	3.173412e-02
7.74296       	1.990249e-03	1.513241e-03	3.169956e-02
7.74333       	1.989941e-03	1.513591e-03	3.166255e-02
7.7437        	1.989617e-03	1.513985e-03	3.126918e-02
7.74407       	1.989243e-03	1.514373e-03	3.082424e-02
7.74444       	1.988908e-03	1.514747e-03	3.067881e-02
7.74481       	1.988577e-03	1.515051e-03	3.076928e-02
7.74519       	1.988243e-03	1.515352e-03	3.067001e-02
7.74556       	1.987898e-03	1.515694e-03	3.076583e-02
7.74593       	1.987556e-03	1.515990e-03	3.080637e-02
7.7463        	1.987257e-03	1.516197e-03	3.111967e-02
7.74667       	1.986906e-03	1.516415e-03	3.110097e-02
7.74704       	1.986508e-03	1.516664e-03	3.094647e-02
7.74741       	1.986101e-03	1.516880e-03	3.101533e-02
7.74778       	1.985706e-03	1.517141e-03	3.117805e-02
7.74815       	1.985291e-03	1.517260e-03	3.183135e-02
7.74852       	1.984881e-03	1.517465e-03	3.116557e-02
7.74889       	1.984489e-03	1.517796e-03	3.124400e-02
7.74926       	1.984045e-03	1.517947e-03	3.148944e-02
7.74963       	1.983598e-03	1.518152e-03	3.147497e-02
7.75          	1.983231e-03	1.518449e-03	3.147070e-02
7.7504        	2.141368e-03	1.640187e-03	3.739311e-02
7.7508        	2.141044e-03	1.640419e-03	3.536474e-02
7.7512        	2.140652e-03	1.640606e-03	3.366622e-02
7.7516        	2.140322e-03	1.640742e-03	3.292940e-02
7.752         	2.140012e-03	1.640961e-03	3.225726e-02
7.7524        	2.139684e-03	1.641375e-03	3.237207e-02
7.7528        	2.139348e-03	1.641810e-03	3.252603e-02
7.7532        	2.139014e-03	1.642141e-03	3.249289e-02
7.7536        	2.138527e-03	1.642369e-03	3.237382e-02
7.754         	2.138004e-03	1.642566e-03	3.213273e-02
7.7544        	2.137525e-03	1.642786e-03	3.198337e-02
7.7548        	2.137009e-03	1.642907e-03	3.184337e-02
7.7552        	2.136537e-03	1.643028e-03	3.151081e-02
7.7556        	2.136099e-03	1.643210e-03	3.131373e-02
7.756         	2.135710e-03	1.643517e-03	3.086459e-02
7.7564        	2.135303e-03	1.643824e-03	3.084922e-02
7.7568        	2.135013e-03	1.644199e-03	3.065034e-02
7.7572        	2.134723e-03	1.644707e-03	3.075054e-02
7.7576        	2.134355e-03	1.645092e-03	3.087860e-02
7.758         	2.134054e-03	1.645504e-03	3.104515e-02
7.7584        	2.133776e-03	1.645716e-03	3.139754e-02
7.7588        	2.133558e-03	1.646071e-03	3.147470e-02
